Name,NACA 6412
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.025000,0.124000
99.758000,0.216000
98.961000,0.490000
97.640000,0.935000
95.808000,1.538000
93.481000,2.278000
90.682000,3.130000
87.436000,4.068000
83.777000,5.062000
79.740000,6.082000
75.366000,7.097000
70.702000,8.079000
65.797000,8.998000
60.703000,9.827000
55.477000,10.543000
50.176000,11.124000
44.863000,11.554000
39.587000,11.817000
34.306000,11.841000
29.199000,11.583000
24.336000,11.060000
19.780000,10.302000
15.592000,9.344000
11.825000,8.231000
8.524000,7.012000
5.726000,5.736000
3.460000,4.452000
1.745000,3.204000
0.595000,2.029000
0.014000,0.955000
0.000000,0.000000
0.534000,-0.792000
1.590000,-1.383000
3.149000,-1.781000
5.186000,-1.999000
7.672000,-2.054000
10.574000,-1.967000
13.861000,-1.763000
17.495000,-1.470000
21.441000,-1.121000
25.664000,-0.748000
30.127000,-0.384000
34.792000,-0.064000
39.622000,0.182000
44.685000,0.370000
49.824000,0.542000
54.976000,0.684000
60.088000,0.786000
65.105000,0.843000
69.972000,0.853000
74.634000,0.819000
79.039000,0.747000
83.137000,0.643000
86.878000,0.520000
90.220000,0.386000
93.121000,0.252000
95.546000,0.129000
97.465000,0.024000
98.854000,-0.057000
99.694000,-0.107000
99.975000,-0.124000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.534000,0.562120
1.590000,0.831315
3.149000,1.222343
5.186000,1.715508
7.672000,2.284727
10.574000,2.901014
13.861000,3.534779
17.495000,4.154654
21.441000,4.728674
25.664000,5.227411
30.127000,5.622941
34.792000,5.887396
39.622000,5.998628
44.685000,5.966437
49.824000,5.847244
54.976000,5.640955
60.088000,5.348630
65.105000,4.976808
69.972000,4.534386
74.634000,4.035061
79.039000,3.495835
83.137000,2.933352
86.878000,2.369793
90.220000,1.824752
93.121000,1.319791
95.546000,0.875159
97.465000,0.508300
98.854000,0.234522
99.694000,0.065501
99.975000,0.008614
100.000000,0.066307
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
